palavra,num
deeply,1
cannot,6
people,3
shadow,1
nation,10
refuse,2
former,2
ghetto,1
martin,1
stream,1
victim,1
rooted,1
valley,3
little,3
travel,1
negros,2
slaves,2
though,1
trials,1
hotels,1
moment,1
always,1
rights,3
mighty,2
lonely,1
whites,1
motels,1
luther,1
slopes,1
wallow,1
waters,1
narrow,1
summer,1
august,1
autumn,1
revolt,1
owners,1
thirst,1
guilty,1
sunlit,1
vaults,1
storms,1
joyous,1
truths,1
luxury,1
alabama,3
changed,1
america,5
created,1
believe,2
gaining,1
georgia,3
capital,1
meaning,2
freedom,20
village,1
lodging,1
fatigue,1
granted,1
crooked,1
exalted,1
despair,2
emerges,1
instead,1
himself,1
meeting,1
hundred,4
friends,1
cooling,1
realize,2
heights,1
fathers,1
happens,1
neither,1
signing,1
lincoln,1
rockies,1
smaller,1
conduct,1
insofar,1
nothing,1
justice,8
dignity,2
racists,1
forever,1
stating,1
reality,1
content,2
liberty,2
nations,1
corners,1
knowing,2
urgency,2
ghettos,1
process,1
promise,1
destiny,2
society,1
vicious,1
somehow,1
satisfy,1
obvious,1
lookout,1
sisters,1
horrors,1
protest,1
history,2
returns,1
country,1
poverty,1
pursuit,1
american,4
daybreak,1
manacles,1
revealed,1
carolina,1
children,5
jangling,1
engulfed,1
battered,1
believes,1
material,1
majestic,1
hallowed,1
desolate,1
unearned,1
colorado,1
creative,2
crippled,1
selfhood,1
presence,1
violence,1
shameful,1
molehill,1
drinking,1
nineteen,1
republic,1
memorial,1
gentiles,1
discords,1
dripping,1
physical,2
almighty,1
devotees,1
greatest,1
together,7
symbolic,1
highways,1
honoring,1
rightful,1
continue,2
straight,1
pilgrims,1
bankrupt,1
millions,1
veterans,1
mobility,1
brothers,2
citizens,1
mountain,4
stripped,1
business,1
struggle,2
equality,1
hilltops,1
northern,1
overlook,1
governor,1
promises,1
wrongful,1
security,1
distrust,1
symphony,1
tomorrow,1
evidenced,1
character,1
defaulted,1
beginning,1
concerned,1
delivered,1
awakening,1
staggered,1
democracy,1
catholics,1
satisfied,8
hampshire,1
beautiful,1
dramatize,1
louisiana,1
condition,1
suffering,2
tennessee,1
militancy,1
happiness,1
threshold,1
something,1
injustice,3
withering,1
unmindful,1
transform,1
spiritual,1
captivity,1
mountains,1
marvelous,1
situation,1
brutality,2
community,1
momentous,1
degenerate,1
california,1
guaranteed,1
discipline,1
languished,1
legitimate,1
obligation,1
gradualism,1
architects,1
snowcapped,1
redemptive,1
quicksands,1
discontent,1
curvaceous,1
washington,1
bitterness,1
sweltering,3
prodigious,1
whirlwinds,1
oppression,1
sixtythree,1
prosperity,1
promissory,2
unalienable,1
alleghenies,1
magnificent,1
declaration,1
heightening,1
unspeakable,1
segregation,2
selfevident,1
brotherhood,3
transformed,1
foundations,1
citizenship,1
persecution,1
mississippi,4
tranquility,1
protestants,1
opportunity,1
independence,1
emancipation,1
difficulties,1
insufficient,2
proclamation,1
inextricably,1
mountainside,2
invigorating,1
pennsylvania,1
tribulations,1
constitution,1
nullification,1
demonstration,1
tranquilizing,1
righteousness,1
interposition,1
discrimination,1
